task_id,timestamp,task_type,file_type,finance_domain,evaluation_criterion,agent,success,score,error_type,processing_time_sec,file_size_kb,complexity_score
TASK_0000,2024-01-01 00:00:00,Data Extraction,Word,Insurance,Timeliness,Agent_A,True,87.23,,40.11,140,6
TASK_0001,2024-01-01 01:00:00,Compliance Check,Excel,Asset Management,Data Quality,Agent_B,True,85.18,,25.72,2568,10
TASK_0002,2024-01-01 02:00:00,Data Extraction,JSON,Risk Management,Data Quality,Agent_C,True,86.14,,29.65,1538,3
TASK_0003,2024-01-01 03:00:00,Compliance Check,CSV,Trading,Accuracy,Agent_C,True,85.76,,36.65,2051,9
TASK_0004,2024-01-01 04:00:00,Risk Assessment,Word,Retail Banking,Compliance,Agent_C,False,61.95,Format Error,33.73,3162,4
TASK_0005,2024-01-01 05:00:00,Risk Assessment,JSON,Retail Banking,Data Quality,Agent_B,True,81.31,,30.67,171,10
TASK_0006,2024-01-01 06:00:00,Market Research,JSON,Risk Management,Data Quality,Agent_C,True,87.11,,46.42,4897,10
TASK_0007,2024-01-01 07:00:00,Financial Analysis,JSON,Asset Management,Compliance,Agent_A,True,89.66,,58.88,4524,1
TASK_0008,2024-01-01 08:00:00,Report Generation,Word,Retail Banking,Completeness,Agent_A,False,42.48,Hallucination,41.65,4608,7
TASK_0009,2024-01-01 09:00:00,Market Research,Word,Insurance,Compliance,Agent_B,False,29.43,Incomplete Output,29.24,2700,1
TASK_0010,2024-01-01 10:00:00,Compliance Check,Excel,Risk Management,Formatting,Agent_A,True,83.8,,20.34,873,7
TASK_0011,2024-01-01 11:00:00,Financial Analysis,JSON,Trading,Compliance,Agent_B,True,91.98,,72.87,4646,4
TASK_0012,2024-01-01 12:00:00,Compliance Check,CSV,Insurance,Data Quality,Agent_B,True,80.12,,26.84,4901,4
TASK_0013,2024-01-01 13:00:00,Market Research,CSV,Retail Banking,Compliance,Agent_A,True,82.95,,26.32,4039,9
TASK_0014,2024-01-01 14:00:00,Data Extraction,Word,Investment Banking,Formatting,Agent_C,True,74.52,,59.44,4789,8
TASK_0015,2024-01-01 15:00:00,Report Generation,PDF,Asset Management,Accuracy,Agent_B,False,16.22,Hallucination,44.73,3009,1
TASK_0016,2024-01-01 16:00:00,Report Generation,PDF,Retail Banking,Completeness,Agent_B,True,94.9,,30.74,1717,10
TASK_0017,2024-01-01 17:00:00,Market Research,JSON,Insurance,Formatting,Agent_A,True,96.22,,15.98,207,6
TASK_0018,2024-01-01 18:00:00,Report Generation,PDF,Investment Banking,Compliance,Agent_C,True,85.8,,39.97,1379,3
TASK_0019,2024-01-01 19:00:00,Report Generation,JSON,Asset Management,Accuracy,Agent_A,True,94.99,,30.66,1812,9
TASK_0020,2024-01-01 20:00:00,Financial Analysis,Excel,Risk Management,Completeness,Agent_C,True,71.32,,51.19,3733,5
TASK_0021,2024-01-01 21:00:00,Compliance Check,CSV,Investment Banking,Accuracy,Agent_C,False,46.63,Incomplete Output,31.06,3201,1
TASK_0022,2024-01-01 22:00:00,Data Extraction,CSV,Investment Banking,Compliance,Agent_B,False,17.25,Hallucination,41.69,108,9
TASK_0023,2024-01-01 23:00:00,Compliance Check,Excel,Risk Management,Completeness,Agent_B,True,75.47,,36.57,170,4
TASK_0024,2024-01-02 00:00:00,Financial Analysis,Word,Asset Management,Formatting,Agent_A,True,90.07,,80.61,4575,7
TASK_0025,2024-01-02 01:00:00,Market Research,Word,Insurance,Data Quality,Agent_C,True,95.4,,16.56,969,1
TASK_0026,2024-01-02 02:00:00,Compliance Check,JSON,Trading,Formatting,Agent_C,False,18.25,Incomplete Output,27.57,1070,8
TASK_0027,2024-01-02 03:00:00,Compliance Check,PDF,Risk Management,Timeliness,Agent_C,False,38.21,Timeout,52.77,2985,7
